generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1774311097-k8ErjiUfOSrkiIVnijDJ,2026-03-24 00:11:37.444,0.000588,,,,0,840,1367,1280,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,14383,14319,,libri
gen-1774311097-GZ9QL47LtCV4jImB2s1Q,2026-03-24 00:11:37.318,0.001088,,,,0,968,2600,2432,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,27259,27079,,libri
gen-1774311067-o5w1hLN5j0vVyeaaDPp0,2026-03-24 00:11:07.840,0.001011,,,,0,398,2479,2304,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,23997,23872,,libri
gen-1774311062-EvK5az6s39x6yz4ULrLn,2026-03-24 00:11:02.570,0.000509,,,,0,764,1179,1088,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,16263,16226,,libri
gen-1774311061-vN2jLNNyWpJyc1HW7xUB,2026-03-24 00:11:01.509,0.000189,,,0,0,1147,29,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,1374,459,,libri
gen-1774311044-YzUuGphKa121L9TE6PpI,2026-03-24 00:10:44.972,0.000593,,,,0,841,1378,1280,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,21643,21582,,libri
gen-1774311044-KSe0KxTypVIwd7vksWRz,2026-03-24 00:10:44.269,0.000629,,,,0,1159,1428,1344,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,13045,12976,,libri
gen-1774311026-5utoQrNtxfTuqOQfUAZH,2026-03-24 00:10:26.104,0.000369,,,,0,625,846,768,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,12971,12901,,libri
gen-1774311020-3dasoiv2m0Zvpehlax6C,2026-03-24 00:10:20.235,0.000267,,,0,0,1712,18,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,638,332,,libri
gen-1774311016-WaJXbL2rAWpQwEow1hJ4,2026-03-24 00:10:16.094,0.000866,,,,0,1451,1986,1920,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,23808,23545,,libri
